Region,Year primary,Primary,Secondary,Tertiary
China,2013,98870818,94324415,34091290
China,2012,99540477,95004209,32585961
China,2011,99707841,97452468,31308378
China,2010,101018623,99218082,31046735
China,2009,103617063,100392466,29295841
China,2008,105950505,101448265,26691696
China,2007,107394752,101830968,25346279
China,2006,108925227,101195119,23360535
China,2005,,,20601219
China,2004,,,18090814
China,2003,121662360,95624760,15186217
China,2002,125756891,90722795,12143723
China,2001,130132548,86516712,9398581
China,2000,,81487960,7364111
China,1999,,77436269,6365625
China,1998,140272002,71883000,6075215
China,1997,136150042,68275438,5826636
China,1996,131951477,63800417,5621543
China,1995,128226233,58941484,5278935
China,1994,124212400,55548100,4505215
China,1993,122012800,55100000,3699840
China,1992,121641500,53690000,3660248
China,1991,122413800,52385600,3822371
China,1990,123731000,51799200,3924546
China,1989,125357800,53621700,3906301
China,1988,128358500,55062400,3936882
China,1987,131825000,54108600,3843102
China,1986,133701800,51663800,3515485
China,1985,135571200,49236900,2746124
China,1984,135780400,46865161,2169978
China,1983,139720400,47027981,
China,1982,143328000,50145904,
China,1981,146270000,56777808,1662796
China,1980,146629400,60248276,1019950
China,1979,146240000,66371587,856322
China,1978,146176000,68488202,625319
China,1977,150055000,59055677,564715
China,1976,150941000,45368418,500993
China,1975,144814000,37137884,429981
Greece,2013,633534,694933,659284
Greece,2012,636713,692957,663698
Greece,2011,637020,692302,660741
Greece,2010,642639,716601,641844
Greece,2009,,,
Greece,2008,,,
Greece,2007,639083,682012,602858
Greece,2006,645324,704515,653003
Greece,2005,650242,715537,646587
Greece,2004,657492,695838,597007
Greece,2003,652052,713850,561468
Greece,2002,646343,756839,529233
Greece,2001,636460,743462,478205
Greece,2000,645313,738744,422317
Greece,1999,645534,770883,387859
Greece,1998,648608,,
Greece,1997,652040,817566,363150
Greece,1996,675267,835158,329185
Greece,1995,710774,842633,296357
Greece,1994,723701,851294,314002
Greece,1993,749312,843403,299023
Greece,1992,784707,870235,271718
Greece,1991,813353,851353,283415
Greece,1990,834688,843732,194419
Greece,1989,853527,847495,187644
Greece,1988,868335,840020,189173
Greece,1987,865660,835845,197808
Greece,1986,887735,813534,181901
Greece,1985,889648,802817,167957
Greece,1984,888440,790368,148515
Greece,1983,890171,753096,137453
Greece,1982,891488,778024,124694
Greece,1981,900641,740058,121116
Greece,1980,899546,725263,117407
Greece,1979,922401,697336,120644
Greece,1978,932978,689784,117892
Greece,1977,937780,677884,122833
Greece,1976,935730,661796,117246
Greece,1975,927848,635140,111441
India,2013,141154752,119400532,28175135
India,2012,139869904,119148200,28568409
India,2011,137746817,113727867,26650953
India,2010,138413842,107686865,20740740
India,2009,138368129,101110386,18500325
India,2008,139317990,101783940,17211215
India,2007,137742645,96049060,14862962
India,2006,,91529430,12852684
India,2005,,89461794,11777296
India,2004,,84569081,11852936
India,2003,125568597,81050129,11295041
India,2002,115194579,76215685,10576653
India,2001,113826978,72392727,9834046
India,2000,113612541,71030515,9404460
India,1999,110985877,67089892,
India,1998,108781792,,
India,1997,110390406,68872393,6060418
India,1996,109734292,66633720,5695780
India,1995,109043663,65206357,4932669
India,1994,108200539,64115978,
India,1993,105370216,62245635,
India,1992,101577089,,
India,1991,99118320,,4950974
India,1990,97318114,,4780181
India,1989,95739976,47021876,4528956
India,1988,90459726,45879040,4275859
India,1987,87129221,44873656,4806179
India,1986,87440514,44484544,4470844
India,1985,83932704,,4271618
India,1984,82590188,40266884,4211176
India,1983,79506945,37922992,3916290
India,1982,76105908,35016994,3411105
India,1981,73873184,32748397,3545318
India,1980,71183223,30592435,3278793
India,1979,68602224,,3206990
India,1978,67360988,27178592,3161093
India,1977,69060730,26265095,3011809
India,1976,65660022,25196115,3043865
India,1975,64855638,24494950,
Syrian Arab Republic,2013,1547316,1857140,630381
Syrian Arab Republic,2012,2552874,2875612,651557
Syrian Arab Republic,2011,2507400,2820911,571401
Syrian Arab Republic,2010,2429450,2731825,573930
Syrian Arab Republic,2009,2383223,2664335,533339
Syrian Arab Republic,2008,2356403,2626228,520901
Syrian Arab Republic,2007,2310168,2549444,472925
Syrian Arab Republic,2006,2279545,2464688,425636
Syrian Arab Republic,2005,2252145,2389383,360736
Syrian Arab Republic,2004,2192764,2249116,289925
Syrian Arab Republic,2003,2149493,2119690,244890
Syrian Arab Republic,2002,2904569,1182424,228267
Syrian Arab Republic,2001,2835023,1124752,
Syrian Arab Republic,2000,2774922,1069040,
Syrian Arab Republic,1999,2738083,1029769,
Syrian Arab Republic,1998,2695452,,
Syrian Arab Republic,1997,2690205,957664,
Syrian Arab Republic,1996,2672960,935048,
Syrian Arab Republic,1995,2651247,928882,215734
Syrian Arab Republic,1994,2624594,923030,216211
Syrian Arab Republic,1993,2573181,916950,228197
Syrian Arab Republic,1992,2539081,902819,219587
Syrian Arab Republic,1991,2452086,914250,221628
Syrian Arab Republic,1990,2357981,923532,214173
Syrian Arab Republic,1989,2304544,933661,203332
Syrian Arab Republic,1988,2217993,925381,205866
Syrian Arab Republic,1987,2158594,912117,182933
Syrian Arab Republic,1986,2029752,870383,179473
Syrian Arab Republic,1985,1924242,815071,170413
Syrian Arab Republic,1984,1823684,755095,156004
Syrian Arab Republic,1983,1716795,687435,149471
Syrian Arab Republic,1982,1642888,635355,145496
Syrian Arab Republic,1981,1555921,604327,140180
Syrian Arab Republic,1980,1481496,588865,115402
Syrian Arab Republic,1979,1407223,579739,116278
Syrian Arab Republic,1978,1356428,545468,102735
Syrian Arab Republic,1977,1316152,512187,90713
Syrian Arab Republic,1976,1273944,488409,73660
Syrian Arab Republic,1975,1211570,458327,67472
United States of America,2013,24417652.73,24095459,19972623
United States of America,2012,24381923,24122437,20994113
United States of America,2011,24431662,24214304,21016126
United States of America,2010,24393002,24192786,20427709
United States of America,2009,24586434,24524564,19102814
United States of America,2008,24676574,24692888,18248124
United States of America,2007,24492041,24731027,17758870
United States of America,2006,24319033,24552317,17487475
United States of America,2005,24454602,24431934,17272044
United States of America,2004,24559494,24185786,16900471
United States of America,2003,24848518,23854458,16611711
United States of America,2002,24855480,23196310,15927987
United States of America,2001,25297600,23087042,13595580
United States of America,2000,24973176,22593562,13202880
United States of America,1999,24937931,22444832,13769362
United States of America,1998,,,
United States of America,1997,,,
United States of America,1996,24045967,21473692,14261778
United States of America,1995,23823662,21122633,14278799
United States of America,1994,23212276,21055473,14305352
United States of America,1993,22976240,20516146,14486304
United States of America,1992,,,14360965
United States of America,1991,22429000,19270000,13710150
United States of America,1990,22279000,19276000,13538000
United States of America,1989,,,13055000
United States of America,1988,,,12766000
United States of America,1987,20595000,20435000,12503511
United States of America,1986,20214000,20633000,12247055
United States of America,1985,19869000,20747000,12241940
United States of America,1984,19840000,21368000,12464661
United States of America,1983,20166000,21369000,12425780
United States of America,1982,20609000,21829000,12371672
United States of America,1981,20420000,21585000,12096895
United States of America,1980,20681000,22301000,11569899
United States of America,1979,19169000,19558000,11260092
United States of America,1978,19554000,21394000,11285787
United States of America,1977,19825000,21619000,11012137
United States of America,1976,20213000,21680000,11184859
United States of America,1975,20613000,21656000,10223729
